
 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2019-06-12                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
2013-08-14 06:00:00.000 226       -15.00
2013-08-14 07:00:00.000 226       -11.00
2013-08-14 08:00:00.000 226        -9.00
2013-08-14 09:00:00.000 226        -7.00
2013-08-14 10:00:00.000 226        -7.00
2013-08-14 11:00:00.000 226        -5.00
2013-08-14 12:00:00.000 226        -6.00
2013-08-14 13:00:00.000 226        -7.00
2013-08-14 14:00:00.000 226        -8.00
2013-08-14 15:00:00.000 226        -7.00
2013-08-14 16:00:00.000 226        -2.00
2013-08-14 17:00:00.000 226         6.00
2013-08-14 18:00:00.000 226         8.00
2013-08-14 19:00:00.000 226         1.00
2013-08-14 20:00:00.000 226        -2.00
2013-08-14 21:00:00.000 226        -8.00
2013-08-14 22:00:00.000 226       -16.00
2013-08-14 23:00:00.000 226       -21.00
2013-08-15 00:00:00.000 227       -28.00
2013-08-15 01:00:00.000 227       -31.00
2013-08-15 02:00:00.000 227       -29.00
2013-08-15 03:00:00.000 227       -24.00
2013-08-15 04:00:00.000 227       -17.00
2013-08-15 05:00:00.000 227       -10.00
2013-08-15 06:00:00.000 227        -7.00
2013-08-15 07:00:00.000 227        -2.00
2013-08-15 08:00:00.000 227        -5.00
2013-08-15 09:00:00.000 227       -13.00
2013-08-15 10:00:00.000 227       -24.00
2013-08-15 11:00:00.000 227       -22.00
2013-08-15 12:00:00.000 227       -10.00
2013-08-15 13:00:00.000 227        -6.00
2013-08-15 14:00:00.000 227        -9.00
2013-08-15 15:00:00.000 227       -11.00
2013-08-15 16:00:00.000 227       -14.00
2013-08-15 17:00:00.000 227       -16.00
2013-08-15 18:00:00.000 227       -11.00
2013-08-15 19:00:00.000 227        -7.00
2013-08-15 20:00:00.000 227       -10.00
2013-08-15 21:00:00.000 227       -17.00
2013-08-15 22:00:00.000 227       -26.00
2013-08-15 23:00:00.000 227       -25.00
2013-08-16 00:00:00.000 228       -19.00
2013-08-16 01:00:00.000 228       -24.00
2013-08-16 02:00:00.000 228       -26.00
2013-08-16 03:00:00.000 228       -32.00
2013-08-16 04:00:00.000 228       -41.00
2013-08-16 05:00:00.000 228       -35.00
2013-08-16 06:00:00.000 228       -25.00
2013-08-16 07:00:00.000 228       -28.00
2013-08-16 08:00:00.000 228       -36.00
2013-08-16 09:00:00.000 228       -36.00
2013-08-16 10:00:00.000 228       -31.00
2013-08-16 11:00:00.000 228       -26.00
2013-08-16 12:00:00.000 228       -32.00
2013-08-16 13:00:00.000 228       -32.00
2013-08-16 14:00:00.000 228       -34.00
2013-08-16 15:00:00.000 228       -33.00
2013-08-16 16:00:00.000 228       -33.00
2013-08-16 17:00:00.000 228       -31.00
2013-08-16 18:00:00.000 228       -32.00
2013-08-16 19:00:00.000 228       -28.00
2013-08-16 20:00:00.000 228       -26.00
